MapName,FromCode,ToCode,Note
JIKAKU,010,17,咳やたんがでる → J17 咳や痰がでる
JIKAKU,020,,鼻づまり・鼻汁がでる → 該当なし(取り込まない)
JIKAKU,030,,息苦しい → J14息切れと近いが別意(取り込まない)
JIKAKU,040,8,眼が疲れる・かすむ → J08 (磯野4001の実データで確認済み)
JIKAKU,050,,視力が低下した → 該当なし
JIKAKU,060,11,耳鳴りがする → J11
JIKAKU,070,10,聞こえが悪い → J10 耳が聞こえにくい
JIKAKU,080,9,めまいがする → J09
JIKAKU,090,3,頭が痛い・重い → J03
JIKAKU,100,12,手足がしびれる → J12
JIKAKU,110,,動悸・息切れ → J14/J15に分かれる(取り込まない)
JIKAKU,120,16,胸をしめつける痛み → J16
JIKAKU,130,,顔や足がむくむ → J13は手足のみ(取り込まない)
JIKAKU,140,20,胃もたれ・胸やけ → J20
JIKAKU,150,,胃やお腹が痛む → J22/23/24に分かれる(取り込まない)
JIKAKU,160,,下痢や便秘 → J25/J26に分かれる(取り込まない)
JIKAKU,170,,残尿感 → J30と近いが別意(取り込まない)
JIKAKU,180,29,尿の回数が多い → J29
JIKAKU,190,,かゆみ → 該当なし
JIKAKU,200,,発疹 → J34と近いが別意(取り込まない)
JIKAKU,210,33,手足の関節が痛む → J33 関節痛
JIKAKU,220,32,腰が痛む → J32 腰痛
JIKAKU,230,31,頸や肩がこる → J31 背中や肩が張る
JIKAKU,240,2,眠れない → J02
JIKAKU,250,1,いらいらしやすい → J01
JIKAKU,260,,物忘れ → 該当なし
BENSEN,陰性,(-),SRL血液の便潜血。選択肢の表示文字で照合する
BENSEN,陽性,(+),同上。表示文字が違えばエラーになるので気付ける
