Group,Name,Dock,A2,B,KomokuCd,Note
測定,身体計測,1,1,1,,身長・体重・BMI
測定,腹囲,1,1,1,,
測定,視力,1,1,1,,
測定,血圧,1,1,1,,
測定,聴力,1,1,1,,オージオ
測定,診察,1,1,1,,ドック欄には未記載だが実施する前提
尿,尿4種,1,0,0,,ドックのみ
尿,尿3種,0,0,1,,Bのみ (蛋白・糖・潜血)
尿,尿2種,0,1,0,,A2のみ (蛋白・糖)。Bとの差はここ
尿,尿沈渣,1,0,0,,●
尿,尿比重,1,0,0,,●
画像,胸部X線2方向,1,0,0,,ドック
画像,胸部X線,0,1,1,,A2・B
画像,胃部X線(食道),1,0,0,,ドック。胃部減額あり
画像,胃部X線,0,1,1,,A2・Bは別料金オプション (B 5950円 / A2 9590円)
生理,心電図,1,1,1,,
生理,眼底,1,0,0,,ドックのみ
生理,眼圧,1,0,0,,ドックのみ
生理,肺機能,1,0,0,,ドックのみ
生理,腹部超音波(5臓器),1,0,0,,ドックのみ
便,便潜血 金コロイド2回法,1,0,1,,ドック● / B▲。A2はなし。Bとの差はここ
血液,総蛋白(TP),1,0,0,,●
血液,Ａ／Ｇ,1,0,0,,●
血液,アルブミン,1,0,0,,●
血液,尿素窒素(UN),1,0,0,,●
血液,クレアチニン(Cr),1,1,1,,●△
血液,尿酸(UA),1,1,1,,●△
血液,総コレステロール,1,1,1,,●△
血液,LDL-cho,1,1,1,,●△
血液,HDL-cho,1,1,1,,●△
血液,中性脂肪(TG),1,1,1,,●△
血液,TTT,0,0,0,,印なし＝入れない
血液,ZTT,0,0,0,,印なし＝入れない
血液,総ビリルビン,1,0,0,,●
血液,直接ビリルビン,0,0,0,,印なし＝入れない
血液,AST(GOT),1,1,1,,●△
血液,ALT(GPT),1,1,1,,●△
血液,AL-P,1,1,1,,●△
血液,LDH,1,0,0,,●
血液,コリンエステラーゼ,1,0,0,,●
血液,γ-GTP,1,1,1,,●△
血液,血清アミラーゼ,1,0,0,,●
血液,血糖,1,1,1,,●△
血液,HbA1c,1,1,1,,●△
血液,HBs抗原,1,0,0,,●
血液,HCV抗体,0,0,0,,印なし＝入れない
血液,HBs抗体,0,0,0,,印なし＝入れない
血液,WBC,1,1,1,,●△
血液,RBC,1,1,1,,●△
血液,Hb,1,1,1,,●△
血液,Ht,1,1,1,,●△
血液,血小板数(PLT),1,1,1,,●△
血液,CRP定性,1,0,0,,●
血液,Fe,1,0,0,,●
血液,ABO血型/RH血型,1,0,0,,●
血液,e-GFR,1,1,1,,●△
