Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
1,,受付番号,KENNO,,,,,,,,受付NO。受診日は列が無いのでGUIの「受診日」欄で指定する
2,,問診01 服薬歴(血圧),MONSHIN,084001,,,,,,,
3,,問診02 服薬歴(血糖),MONSHIN,084002,,,,,,,
4,,問診03 服薬歴(脂質),MONSHIN,084003,,,,,,,
5,,問診04 既往歴(脳卒中),MONSHIN,084004,,,,,,,
6,,問診05 既往歴(心疾患),MONSHIN,084005,,,,,,,
7,,問診06 既往歴(慢性腎不全),MONSHIN,084006,,,,,,,
8,,問診07 既往歴(貧血),MONSHIN,084007,,,,,,,
9,,問診08 喫煙,MONSHIN,084008,,,,,,,
10,,問診09 体重変化,MONSHIN,084009,,,,,,,
11,,問診10 運動,MONSHIN,084010,,,,,,,
12,,問診11 身体活動,MONSHIN,084011,,,,,,,
13,,問診12 歩行速度,MONSHIN,084012,,,,,,,
14,,問診13 かんで食べる,MONSHIN,H30-0061,,,,,,,
15,,問診14 食べる速度,MONSHIN,084014,,,,,,,
16,,問診15 遅い夕食,MONSHIN,084015,,,,,,,
17,,問診16 間食,MONSHIN,H30-0062,,,,,,,
18,,問診17 朝食ぬき,MONSHIN,084017,,,,,,,
19,,問診18 飲酒頻度,MONSHIN,084018,,,,,,,
20,,問診19 飲酒量,MONSHIN,084019,,,,,,,
21,,問診20 睡眠・休養,MONSHIN,084020,,,,,,,
22,,問診21 生活習慣の改善,MONSHIN,084021,,,,,,,
23,,問診22 保健指導,MONSHIN,R06-0004,,,,,,,
24,,食事時間(空腹),MONSHIN,001282,,,,,,,1=食後10時間以上
25,,身長,VALUE,001211,,,,,,0.0,
26,,体重,VALUE,001212,,,,,,0.0,
27,,腹囲,VALUE,001215,,,,,,0.0,
28,,最高血圧(初回),VALUE,001253,,,,,,,
29,,最低血圧(初回),VALUE,001254,,,,,,,
30,,最高血圧(2回目),VALUE,001255,,,,,,,
31,,最低血圧(2回目),VALUE,001256,,,,,,,
33,32,視力(右),VISION,067012,067018,,,,,0.0,Col=値/Col2=種別。種別の意味を確認後にvision_map.csvで設定
35,34,視力(左),VISION,067013,067019,,,,,0.0,同上
37,,聴力(右)1000Hz,MONSHIN,067132,,,,,,,
38,,聴力(右)4000Hz,MONSHIN,067133,,,,,,,
39,,聴力(左)1000Hz,MONSHIN,067134,,,,,,,
40,,聴力(左)4000Hz,MONSHIN,067135,,,,,,,
42,,尿蛋白,MONSHIN,069206,,,,,,,
43,,尿糖,MONSHIN,069207,,,,,,,
44,,尿潜血,MONSHIN,069211,,,,,,,
