Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
# DETECT=HEADER:受診日,受付NO,Q1,氏名
# DETECT=HEADER:日付,受付NO,Q1,氏名
# DETECT=HEADER:実施日,受付NO,Q1,氏名
# DETECT=COLS:49-49
# LABEL=当日フォーム・氏名つき (49列)
# 芝浦巡回AIデータのA列に「受診日」を挿入した推奨レイアウト。
# 元の46列(mapping_shibaura_ai.csv)を+1しただけで、中身は同じ。
# A列に日付を入れておけば、GUIの受診日欄への入力(と打ち間違い)が要らなくなる。
# 芝浦のファイルには氏名が無く、日付を打ち間違えても氏名照合で気付けないため、
# ファイル側に日付を持たせるこちらを推奨する(2026/08/02 業務判断)。
1,,受診日,KENYMD,,,,,,,,A列。2026/06/15 の形式で全員の行に入れる(1行目だけだと残りがエラーになる)
2,,受付番号,KENNO,,,,,,,,受付NO
3,,問診01 服薬歴(血圧),MONSHIN,084001,,,,,,,
4,,問診02 服薬歴(血糖),MONSHIN,084002,,,,,,,
5,,問診03 服薬歴(脂質),MONSHIN,084003,,,,,,,
6,,問診04 既往歴(脳卒中),MONSHIN,084004,,,,,,,
7,,問診05 既往歴(心疾患),MONSHIN,084005,,,,,,,
8,,問診06 既往歴(慢性腎不全),MONSHIN,084006,,,,,,,
9,,問診07 既往歴(貧血),MONSHIN,084007,,,,,,,
10,,問診08 喫煙,MONSHIN,084008,,,,,,,
11,,問診09 体重変化,MONSHIN,084009,,,,,,,
12,,問診10 運動,MONSHIN,084010,,,,,,,
13,,問診11 身体活動,MONSHIN,084011,,,,,,,
14,,問診12 歩行速度,MONSHIN,084012,,,,,,,
15,,問診13 かんで食べる,MONSHIN,H30-0061,,,,,,,
16,,問診14 食べる速度,MONSHIN,084014,,,,,,,
17,,問診15 遅い夕食,MONSHIN,084015,,,,,,,
18,,問診16 間食,MONSHIN,H30-0062,,,,,,,
19,,問診17 朝食ぬき,MONSHIN,084017,,,,,,,
20,,問診18 飲酒頻度,MONSHIN,084018,,,,,,,
21,,問診19 飲酒量,MONSHIN,084019,,,,,,,
22,,問診20 睡眠・休養,MONSHIN,084020,,,,,,,
23,,問診21 生活習慣の改善,MONSHIN,084021,,,,,,,
24,,問診22 保健指導,MONSHIN,R06-0004,,,,,,,
25,,食事時間(空腹),MONSHIN,001282,,,,,,,1=食後10時間以上
26,,身長,VALUE,001211,,,,,,0.0,
27,,体重,VALUE,001212,,,,,,0.0,
28,,腹囲,VALUE,001215,,,,,,0.0,
29,,最高血圧(初回),VALUE,001253,,,,,,,
30,,最低血圧(初回),VALUE,001254,,,,,,,
31,,最高血圧(2回目),VALUE,001255,,,,,,,
32,,最低血圧(2回目),VALUE,001256,,,,,,,
34,33,視力(右),VISION,067012,067018,,,,,0.0,Col=値/Col2=種別。種別は 1=裸眼 / 2・3=矯正。旧自動入力ツール(kensin_navi_input_v2.py)で実運用されていた解釈と一致(2026/08/08確定)
36,35,視力(左),VISION,067013,067019,,,,,0.0,同上
37,,聴力(右)1000Hz,MONSHIN,067132,,,,,,,
38,,聴力(右)4000Hz,MONSHIN,067133,,,,,,,
39,,聴力(左)1000Hz,MONSHIN,067134,,,,,,,
40,,聴力(左)4000Hz,MONSHIN,067135,,,,,,,
41,,聴力備考,NOFRAME,,,,,,,,健診ナビに枠が無い自由記入欄。入力があったことだけ知らせる
42,,尿蛋白,MONSHIN,069206,,,,,,,
43,,尿糖,MONSHIN,069207,,,,,,,
44,,尿潜血,MONSHIN,069211,,,,,,,
45,,他覚所見1(診察),SHOKENCD,017101A,SHIN,,,,,,★実データは全員1。プレビューで「1」が何と表示されるかを必ず確かめること
46,,胸部X線所見1,SHOKENCD,077010A,ZK020,,,,,,★同上。リアンは所見CD+部位CDの2列だが芝浦は1列なので所見CDのみ
47,,心電図所見1,SHOKENCD,067112A,ZK011,,,,,,★同上。ZK011の結果CD 1 は「正常範囲」
48,,氏名(漢字),NAMEKANJI,,,,,,,,取り違え防止の照合に使う。健診ナビ側の氏名と突き合わせる
49,,氏名(カナ),NAMEKANA,,,,,,,,半角カナ。漢字より優先して照合される (旧字体の差を避けるため)
