Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
# DETECT=COLS:30-38
# LABEL=SRL血液 (35列・見出しなし)
5,,受付番号,KENNO,,,,,,,,5列目。カルテNoではなく受付番号で照合できる
1,,受診日,KENYMD,,,,,,,,YYMMDD形式(260702)
4,,氏名(カナ),NAMEKANA,,,,,,,,取り違え防止の照合に使用
2,,報告日,IGNORE,,,,,,,,
3,,検体番号,IGNORE,,,,,,,,
6,,総蛋白(TP),VALUE,,,,,,,,★項目コード未確認
7,,アルブミン,VALUE,,,,,,,,★項目コード未確認
8,,尿素窒素(BUN),VALUE,,,,,,,,★項目コード未確認
9,,クレアチニン,VALUE,068674,,,,,,,画面で確認済み
10,,尿酸,VALUE,068675,,,,,,,画面で確認済み
11,,総コレステロール,VALUE,,,,,,,,★項目コード未確認
12,,LDLコレステロール,VALUE,,,,,,,,★項目コード未確認
13,,HDLコレステロール,VALUE,,,,,,,,★項目コード未確認。Friedewald式で13=HDL/14=中性脂肪と確認
14,,中性脂肪,VALUE,,,,,,,,★項目コード未確認
15,,AST(GOT),VALUE,,,,,,,,★項目コード未確認
16,,ALT(GPT),VALUE,,,,,,,,★項目コード未確認
17,,ALP,VALUE,,,,,,,,★項目コード未確認
18,,γ-GTP,VALUE,,,,,,,,★項目コード未確認
19,,血糖,VALUE,,,,,,,,★項目コード未確認
20,,HbA1c,VALUE,,,,,,,,★項目コード未確認
21,,白血球数,VALUE,069003,,,,,,,画面で確認済み
22,,赤血球数,VALUE,069004,,,,,,,画面で確認済み
23,,血色素量,VALUE,069005,,,,,,,画面で確認済み
24,,ヘマトクリット,VALUE,069006,,,,,,,画面で確認済み
25,,血小板数,VALUE,069010,,,,,,,画面で確認済み
26,,Na,VALUE,,,,,,,,★項目コード未確認
27,,K,VALUE,,,,,,,,★項目コード未確認
28,,Cl,VALUE,,,,,,,,★項目コード未確認
29,,eGFR,VALUE,068676,,,,,,,画面で確認済み
30,,MCV,VALUE,069007,,,,,,,画面で確認済み
31,,MCH,VALUE,069008,,,,,,,画面で確認済み
32,,MCHC,VALUE,069009,,,,,,,画面で確認済み
34,,便潜血1回目,MONSHIN,,,,,,,,★項目コード未確認。値は「陰性」なので選択肢の変換が必要
35,,便潜血2回目,MONSHIN,,,,,,,,★項目コード未確認。同上
# ★の行は「2. 枠一覧(DB)」で項目コードを確認してから記入する。
# 未記入の行は取込時に「項目CD未設定」と表示され、書き込まれない(エラーではない)。
