Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
# DETECT=HEADER:受診年月日,事業所管理番号,漢字氏名,カナ氏名,!胸部フィルム№
# DETECT=COLS:213-213
# LABEL=東振協データ送信 (213列・胸部X線/心電図/胃部X線が入っていない版)
# 受付番号の列が無いので、氏名(カナ優先)で健診ナビの受診者を探して書き込む。
# ★印のNoteは健診ナビ側に枠が無いもの。手入力になる。
# 判定列(★…／判：…)とBMIは健診ナビの自動判定が出すので取り込まない。
1,,受診年月日,KENYMD,,,,,,,,20260821 の8桁
2,,正式名称（親）,IGNORE,,,,,,,,団体名
3,,事業所管理番号,IGNORE,,,,,,,,★人ごとに違う番号。社員番号かもしれないが、勝手に上書きすると過去の結果票に影響するので取り込まない
4,,漢字氏名,NAMEKANJI,,,,,,,,
5,,カナ氏名,NAMEKANA,,,,,,,,
6,,性別,IGNORE,,,,,,,,健診ナビの個人マスタが持っている
7,,生年月日,IGNORE,,,,,,,,同上
8,,年齢,IGNORE,,,,,,,,同上
9,,記号,IGNORE,,,,,,,,
10,,総合判定,IGNORE,,,,,,,,総合判定は自動判定が出す
11,,身長,VALUE,001211,,,,,,,
12,,体重,VALUE,001212,,,,,,,
13,,ＢＭＩ,IGNORE,,,,,,,,BMIは自動判定が計算する
14,,腹囲,VALUE,001215,,,,,,,
15,,★身体計測判定,IGNORE,,,,,,,,自動判定
16,,右視力 裸眼,VALUE,067012,,,,,,,
17,,左視力 裸眼,VALUE,067013,,,,,,,
18,,右視力 矯正,VALUE,067018,,,,,,,
19,,左視力 矯正,VALUE,067019,,,,,,,
20,,矯正区分（眼鏡・ｺﾝﾀｸ,IGNORE,,,,,,,,矯正区分
21,,★視力判定,IGNORE,,,,,,,,自動判定
22,,収縮期血圧（１回目）,VALUE,001253,,,,,,,
23,,拡張期血圧（１回目）,VALUE,001254,,,,,,,
24,,収縮期血圧（２回目）,VALUE,001255,,,,,,,
25,,拡張期血圧（２回目）,VALUE,001256,,,,,,,
26,,★血圧判定,IGNORE,,,,,,,,自動判定
27,,尿糖,MONSHIN,069207,,,NYOUZ,,,,東振協は全角（－）。code_map の NYOUZ で (-) に変換
28,,尿蛋白,MONSHIN,069206,,,NYOUZ,,,,
29,,尿潜血,MONSHIN,069211,,,NYOUZ,,,,
30,,判：尿糖,IGNORE,,,,,,,,自動判定
31,,判：尿蛋白,IGNORE,,,,,,,,自動判定
32,,判：尿潜血,IGNORE,,,,,,,,自動判定
33,,聴力右会話,IGNORE,,,,,,,,★会話法の聴力(067148)。今回は空
34,,聴力左会話,IGNORE,,,,,,,,★同上
35,,聴力右1000所見有無,MONSHIN,067132,,,,,,,
36,,聴力左1000所見有無,MONSHIN,067134,,,,,,,
37,,聴力右4000所見有無,MONSHIN,067133,,,,,,,
38,,聴力左4000所見有無,MONSHIN,067135,,,,,,,
39,,★聴力判定,IGNORE,,,,,,,,自動判定
40,,便潜血番号,IGNORE,,,,,,,,検体番号
41,,便潜血（１回目）,MONSHIN,069245,,,BENSEN,,,,
42,,便潜血（２回目）,MONSHIN,069246,,,BENSEN,,,,
43,,★便潜血判定,IGNORE,,,,,,,,自動判定
44,,他覚所見①,SHOKENCD,017101A,SHIN,,TOS_SHIN,,,,
45,,他覚所見②,SHOKENCD,017101B,SHIN,,TOS_SHIN,,,,
46,,他覚所見③,SHOKENCD,017101C,SHIN,,TOS_SHIN,,,,
47,,他覚所見判定,IGNORE,,,,,,,,他覚所見判定は自動判定が出す
48,,判：他覚所見判定,IGNORE,,,,,,,,自動判定
49,,採血番号,IGNORE,,,,,,,,検体番号
50,,白血球数,VALUE,069003,,,,,,,
51,,判：白血球数,IGNORE,,,,,,,,自動判定
52,,赤血球数,VALUE,069004,,,,,,,
53,,判：赤血球数,IGNORE,,,,,,,,自動判定
54,,ﾍﾓｸﾞﾛﾋﾞﾝ,VALUE,069005,,,,,,,
55,,判：ﾍﾓｸﾞﾛﾋﾞﾝ,IGNORE,,,,,,,,自動判定
56,,ﾍﾏﾄｸﾘｯﾄ,VALUE,069006,,,,,,,
