会社,コースCD,状態,会社請求,健保請求,備考
# 協会けんぽ 令和8年 料金表(2026/08受領)より。会社列が空=全社共通。
# 状態: 通常 / 胃部X線未実施 / 便潜血未実施 / 便潜血1本のみ
#       胃部X線未実施+便潜血未実施 / 胃部X線未実施+便潜血1本のみ (両方欠けた組合せ)
# 基本料金はこの表が最優先。行が無いコースだけ健診ナビのマスタ(T_COURSE3)を使う。
,KY101,通常,5500,14135,一般健診(35歳以上) 総額19635
,KY101,胃部X線未実施,2730,7005,生活(胃欠) 総額9735
,KY101,便潜血未実施,5270,13551,一般健診(便欠) 手書きメモより 総額18821
,KY101,便潜血1本のみ,5380,13848,一般健診(便1本) 手書きメモより 総額19228
,KY101,胃部X線未実施+便潜血1本のみ,2610,6718,生活(胃欠)かつ便1本 総額9328。2026/08/09確認
,KY101,胃部X線未実施+便潜血未実施,2500,6421,生活(胃欠)かつ便欠 総額8921。2026/08/09確認
,KY301,通常,2500,6421,一般健診(若年) 総額8921。若年は胃部・便潜血が元から無い
,SA,通常,9350,0,A健診(税込)。会社全額負担
