会社,コースCD,条件,金額,備考
# 条件: 胃部X線未実施 / 便潜血未実施 / 便潜血1本のみ / 尿検査未実施 / PSA実施 / 実施:項目CD / 未実施:項目CD
# 金額は会社請求への増減(減額はマイナス)。会社は名前の一部(空=全社)。
# 胃部X線・便潜血の減額は seikyu_prices.csv の状態別料金で扱うので、ここには書かない(二重になる)。
# PSAは受付で料金入力済みの人には二重にならないよう自動でスキップされる。
,,PSA実施,1980,PSA追加(税込1980円)。2026/08/09確認
,KY101,尿検査未実施,-80,尿検査(尿蛋白/尿糖/尿潜血)を受けなかった人。協会は税抜260(税込286)を減額し、内訳は自己負担80+協会請求206。会社請求は自己負担分だけ下がる。2026/06/26の請求明細書で確認
,KY301,尿検査未実施,-80,同上(若年健診)

# 特殊健診の加算。項目CDは check12 の M_OPTION より。6/26のサンテックには該当者なし。
,,実施:068823,6600,鉛(血中鉛)。税抜6000→税込6600。2026/08/09の遠藤様メール
,,実施:068812,6600,有機溶剤(尿中馬尿酸=トルエン)。税抜6000→税込6600。同上
,,実施:068826,6600,有機溶剤(メタノール)。税抜6000→税込6600。同上。トルエンと両方あれば要調整
