Sheet,Cell,Placeholder,Ryaku,Kind,Label
Sheet1,E3,**送付先郵便番号,,送付先郵便番号,
Sheet1,E5,**送付先住所12,,送付先住所12,
Sheet1,E7,**送付先住所3,,送付先住所3,
Sheet1,E9,**事_名称,,事_名称,
Sheet1,AA9,**医_法人名,,医_法人名,
Sheet1,F11,**ｶﾅ氏名,,ｶﾅ氏名,
Sheet1,AA11,**医_医療機関,,医_医療機関,
Sheet1,F13,**漢字氏名,,漢字氏名,
Sheet1,AA13,**医_郵便番号,,医_郵便番号,様
Sheet1,AA15,**医_住所1,,医_住所1,
Sheet1,E16,**事_ｺｰﾄﾞ,,事_ｺｰﾄﾞ,
Sheet1,L16,**保険証番号,,保険証番号,
Sheet1,AA17,**医_住所2,,医_住所2,
Sheet1,AA19,**医_TEL,,医_TEL,
Sheet1,AF19,**医_FAX,,医_FAX,
Sheet2,DJ2,**印刷日#西暦[yyyy/mm/dd],,印刷日#西暦[yyyy/mm/dd],
Sheet2,G4,**ｶﾙﾃ0抜き,,ｶﾙﾃ0抜き,カルテ№
Sheet2,Y4,**受診日#西暦[yyyy/mm/dd]_1,,受診日#西暦[yyyy/mm/dd]_1,今回
Sheet2,AM4,**受診日#西暦[yyyy/mm/dd]_2,,受診日#西暦[yyyy/mm/dd]_2,前回
Sheet2,BA4,**受診日#西暦[yyyy/mm/dd]_3,,受診日#西暦[yyyy/mm/dd]_3,前々回
Sheet2,G5,**ｶﾅ氏名,,ｶﾅ氏名,氏名
Sheet2,AL5,**ｺｰｽ略称,,ｺｰｽ略称,健診コース
Sheet2,BQ5,**[判定_糖代謝]判定_1,判定_糖代謝,判定_1,糖尿病
Sheet2,CA5,**[尿糖]基単,尿糖,基単,尿糖
Sheet2,CH5,**[尿糖]HL_1,尿糖,HL_1,尿糖
Sheet2,CI5,**[尿糖]結果値_1,尿糖,結果値_1,尿糖
Sheet2,CL5,**[尿糖]HL_2,尿糖,HL_2,尿糖
Sheet2,CM5,**[尿糖]結果値_2,尿糖,結果値_2,尿糖
Sheet2,CP5,**[尿糖]HL_3,尿糖,HL_3,尿糖
Sheet2,CQ5,**[尿糖]結果値_3,尿糖,結果値_3,尿糖
Sheet2,CV5,**[判定_肝機能]判定_1,判定_肝機能,判定_1,肝機能検査
